City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Boa Vista,BR,2021-10-23 00:41:04,2.8197,-60.6733,80.58,74,20,0.0
230,Borogontsy,RU,2021-10-23 00:41:05,62.6683,131.1683,21.76,91,100,1.86
231,Kabalo,CD,2021-10-23 00:41:05,-6.05,26.9167,68.63,94,100,1.1
232,Nyurba,RU,2021-10-23 00:41:05,63.2842,118.3319,32.94,88,55,8.46
233,Bolobo,CD,2021-10-23 00:41:06,-2.1667,16.2333,71.26,96,67,3.0
234,Northam,GB,2021-10-23 00:41:06,51.0333,-4.2167,52.09,81,100,7.83
235,Usinsk,RU,2021-10-23 00:41:07,65.9939,57.5281,31.95,99,100,4.9
236,Barra,BR,2021-10-23 00:41:07,-11.0894,-43.1417,79.07,65,86,4.27
237,Hami,CN,2021-10-23 00:41:08,42.8,93.45,51.64,28,6,11.05
238,Kinablangan,PH,2021-10-23 00:41:08,7.6947,126.5503,83.75,70,100,4.03
239,Morgan City,US,2021-10-23 00:41:09,29.6994,-91.2068,80.6,87,38,4.59
240,Yelizovo,RU,2021-10-23 00:41:09,53.1873,158.3805,37.54,65,75,4.47
241,Talnakh,RU,2021-10-23 00:41:10,69.4865,88.3972,25.3,97,100,7.83
242,Sola,VU,2021-10-23 00:41:10,-13.8833,167.55,86.67,74,75,5.75
243,Padang,ID,2021-10-23 00:41:11,-0.9492,100.3543,81.14,79,93,1.61
244,Sao Miguel Do Araguaia,BR,2021-10-23 00:41:11,-13.275,-50.1628,77.05,70,100,3.94
245,Alofi,NU,2021-10-23 00:41:11,-19.0595,-169.9187,78.69,57,100,16.11
246,Bambous Virieux,MU,2021-10-23 00:41:12,-20.3428,57.7575,72.21,100,75,3.44
247,Mitsamiouli,KM,2021-10-23 00:41:12,-11.3847,43.2844,76.48,77,85,8.05
248,Tazovskiy,RU,2021-10-23 00:41:13,67.4667,78.7,20.89,97,79,1.01
249,Yongchang,CN,2021-10-23 00:41:13,30.0381,119.7317,58.55,61,96,2.68
250,Swellendam,ZA,2021-10-23 00:41:13,-34.0226,20.4417,55.78,73,78,14.56
251,Prachuap Khiri Khan,TH,2021-10-23 00:41:14,12.2167,99.75,73.71,89,100,2.89
252,Troitskoye,RU,2021-10-23 00:41:14,52.9821,84.6757,38.25,52,76,17.02
253,Cidreira,BR,2021-10-23 00:41:15,-30.1811,-50.2056,65.43,87,1,9.75
254,Beloha,MG,2021-10-23 00:41:15,-25.1667,45.05,64.51,82,100,11.12
255,Kohtla-Jarve,EE,2021-10-23 00:41:16,59.3986,27.2731,39.88,93,100,17.07
256,Nanortalik,GL,2021-10-23 00:41:16,60.1432,-45.2371,39.0,97,100,9.89
257,Hirara,JP,2021-10-23 00:41:17,24.8,125.2833,75.47,60,75,12.66
